status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,pd_estimate,LGD,EAD,stage,ecl
1,18,4,2,1049,1,2,4,2,1,4,2,21,3,1,1,3,2,1,2,1,0.7462269511963708,0.66,1049,Stage 2,516.6427673912954
1,9,4,0,2799,1,3,2,3,1,2,1,36,3,1,2,3,1,1,2,1,0.6817256023172061,0.75,2799,Stage 2,1431.112470664395
2,12,2,9,841,2,4,2,2,1,4,1,23,3,1,1,2,2,1,2,1,0.477136712482624,0.705,841,Stage 1,282.89674251451015
1,12,4,0,2122,1,3,3,3,1,2,1,39,3,1,2,2,1,1,1,1,0.3806487360685724,0.75,2122,Stage 1,605.802463453133
1,12,4,0,2171,1,3,4,3,1,4,2,38,1,2,2,2,2,1,1,1,0.36949849074957575,0.66,2171,Stage 1,529.4396074554371
1,10,4,0,2241,1,2,1,3,1,3,1,48,3,1,2,2,1,1,1,1,0.2671356895383451,0.75,2241,Stage 1,448.98831019157353
1,8,4,0,3398,1,4,1,3,1,4,1,39,3,2,2,2,2,1,1,1,0.12607291667326015,0.75,3398,Stage 1,321.2968281418035
1,6,4,0,1361,1,2,2,3,1,4,1,40,3,2,1,2,1,1,1,1,0.1291938420908748,0.75,1361,Stage 1,131.87461431426047
4,18,4,3,1098,1,1,4,2,1,4,3,65,3,2,2,1,2,1,2,1,0.14231215233613415,0.5700000000000001,1098,Stage 1,59.37832244072862
2,24,2,3,3758,3,1,1,2,1,4,4,23,3,1,1,1,2,1,2,1,0.47410310416211876,0.38999999999999996,3758,Stage 1,347.42749576104217
1,11,4,0,3905,1,3,2,3,1,2,1,36,3,1,2,3,1,1,2,1,0.7139516843677677,0.75,3905,Stage 2,2090.9859955920997
1,30,4,1,6187,2,4,1,4,1,4,3,24,3,1,2,3,2,1,2,1,0.4952710278566781,0.525,6187,Stage 1,643.4907883633462
1,6,4,3,1957,1,4,1,2,1,4,3,31,3,2,1,3,2,1,2,1,0.2958992356424184,0.5700000000000001,1957,Stage 1,330.0726383667613
2,48,3,10,7582,2,1,2,3,1,4,4,31,3,2,1,4,2,2,2,1,0.6812675574179187,0.435,7582,Stage 2,2246.9362198490567
1,18,2,3,1936,5,4,2,4,1,4,3,23,3,1,2,2,2,1,2,1,0.5441721295704036,0.38999999999999996,1936,Stage 2,410.8717247108375
1,6,2,3,2647,3,3,2,3,1,3,1,44,3,1,1,3,1,1,2,1,0.3708372963564305,0.66,2647,Stage 1,647.8601734806113
1,11,4,0,3939,1,3,1,3,1,2,1,40,3,2,2,2,1,1,2,1,0.5067588146196651,0.75,3939,Stage 2,1497.0922280901457
2,18,2,3,3213,3,2,1,4,1,3,1,25,3,1,1,3,2,1,2,1,0.4384648954882475,0.66,3213,Stage 1,619.8665920496453
2,36,4,3,2337,1,5,4,3,1,4,1,36,3,2,1,3,2,1,2,1,0.29609351600306344,0.75,2337,Stage 1,172.9926367247898
4,11,4,0,7228,1,3,1,3,1,4,2,39,3,2,2,2,2,1,2,1,0.22187284222568393,0.66,7228,Stage 1,1058.4399563807808
1,6,4,0,3676,1,3,1,3,1,3,1,37,3,1,3,3,1,1,2,1,0.6739246531751547,0.75,3676,Stage 2,1858.0102688039015
2,12,4,0,3124,1,2,1,3,1,3,1,49,1,2,2,2,1,1,2,1,0.4691718333743252,0.75,3124,Stage 1,1099.269605596044
2,36,2,5,2384,1,2,4,3,1,1,4,33,3,1,1,2,2,1,2,0,0.8552521976937216,0.48,2384,Stage 3,1144.32
2,12,4,4,1424,1,4,4,3,1,3,2,26,3,2,1,3,2,1,2,1,0.3288239273566964,0.66,1424,Stage 1,309.04187988691757
1,6,4,0,4716,5,2,1,3,1,3,1,44,3,2,2,2,1,1,2,1,0.2609470105593297,0.57,4716,Stage 1,701.4568780247453
2,11,3,3,4771,1,4,2,3,1,4,2,51,3,2,1,3,2,1,2,1,0.23476440632287432,0.66,4771,Stage 1,739.240248493846
1,12,2,2,652,1,5,4,2,1,4,2,24,3,1,1,3,2,1,2,1,0.7392295323477379,0.66,652,Stage 2,318.1052523598786
2,9,4,3,1154,1,5,2,3,1,4,1,37,3,2,3,2,2,1,2,1,0.17210965570232573,0.75,1154,Stage 1,148.96090701036292
4,15,2,0,3556,5,3,3,3,1,2,4,29,3,2,1,3,2,1,2,1,0.23496504309444,0.3,3556,Stage 1,200.52856637851886
3,42,4,1,4796,1,5,4,3,1,4,4,56,3,3,1,3,2,1,2,1,0.1473059875017727,0.48,4796,Stage 1,96.88861934516598
3,30,4,3,3017,1,5,4,3,1,4,2,47,3,2,1,3,2,1,2,1,0.14845028957588924,0.66,3017,Stage 1,118.23887424372087
4,36,4,0,3535,1,4,4,3,1,4,3,37,3,2,2,3,2,2,2,1,0.4033310190066579,0.5700000000000001,3535,Stage 1,270.8972789158218
4,36,4,0,6614,1,5,4,3,1,4,3,34,3,2,2,4,2,2,2,1,0.4912247534507149,0.5700000000000001,6614,Stage 1,617.3024986713755
4,24,2,3,1376,3,4,4,2,1,1,3,28,3,2,1,3,2,1,2,1,0.274514384622112,0.48,1376,Stage 1,90.65563037760624
1,15,2,0,1721,1,2,2,3,1,3,1,36,3,2,1,3,2,1,2,1,0.5994653795108543,0.75,1721,Stage 2,773.7599386036353
1,6,4,0,860,1,5,1,2,1,4,4,39,3,2,2,3,2,2,2,1,0.4809599391690328,0.48,860,Stage 1,198.54026288897674
4,12,4,0,1495,1,5,4,3,1,1,1,38,3,2,2,2,1,1,2,1,0.23869169995466466,0.75,1495,Stage 1,267.63306857416774
4,12,4,3,1934,1,5,2,3,1,2,4,26,3,2,2,3,2,1,2,1,0.12796240618134935,0.48,1934,Stage 1,118.79006090627023
4,18,2,1,3378,5,3,2,3,1,1,2,31,3,2,1,3,2,2,2,1,0.029746560033055758,0.48,3378,Stage 1,32.154841533331954
4,24,4,1,3868,1,5,4,2,1,2,3,41,3,1,2,4,2,2,2,1,0.2555702663542617,0.5700000000000001,3868,Stage 1,281.735550223611
4,12,4,5,996,5,4,4,2,1,4,1,23,3,2,2,3,2,1,2,1,0.08368908212970472,0.57,996,Stage 1,47.51196570667595
1,24,2,10,1755,1,5,4,2,3,4,1,58,3,2,1,2,2,2,2,1,0.34034023934068824,0.75,1755,Stage 1,223.98642001609045
4,18,4,0,1028,1,3,4,2,1,3,1,36,3,2,2,3,2,1,2,1,0.3580418678200443,0.75,1028,Stage 1,184.0335200595028
2,24,4,9,2825,5,4,4,3,1,3,4,34,3,2,2,3,1,2,2,1,0.2939522933174883,0.3,2825,Stage 1,124.56228429328566
2,18,2,6,1239,5,3,4,3,1,4,4,61,3,3,1,3,2,1,2,1,0.40217726828750944,0.3,1239,Stage 1,99.65952708164482
1,18,2,0,1216,1,2,4,2,1,3,3,23,3,1,1,3,2,2,2,0,0.905613404063444,0.5700000000000001,1216,Stage 3,693.1200000000001
4,24,2,9,1258,1,4,4,3,1,1,1,25,3,2,1,3,2,2,2,1,0.24867607084082655,0.75,1258,Stage 1,117.31293641915993
4,18,4,6,1864,2,3,4,2,1,2,1,30,3,2,2,3,2,1,2,0,0.3545361581616018,0.705,1864,Stage 3,1314.12
4,24,2,0,1474,2,2,4,4,1,3,1,33,3,2,1,3,2,2,2,1,0.3961014463409416,0.705,1474,Stage 1,205.8083699970581
1,24,4,9,1382,2,4,4,3,1,1,1,26,3,2,2,3,2,2,2,1,0.47018518780513696,0.705,1382,Stage 1,229.0530651652115
4,12,2,0,640,1,3,4,1,1,2,1,49,3,2,1,2,2,1,2,1,0.46871171439751425,0.75,640,Stage 1,224.98162291080683
3,36,2,3,3919,1,3,2,3,1,2,1,23,3,2,1,3,2,2,2,1,0.2434946765014402,0.75,3919,Stage 1,238.56390930228602
4,9,4,0,1224,1,3,3,3,1,1,1,30,3,2,2,3,2,1,2,1,0.22062216351581387,0.75,1224,Stage 1,202.53114610751715
4,12,4,3,2331,5,5,1,3,2,4,1,49,3,2,1,3,2,2,2,1,0.01895742466902628,0.57,2331,Stage 1,25.188161434995145
4,24,2,1,6313,5,5,3,3,1,4,3,41,3,2,1,4,1,2,2,1,0.04782967609998978,0.38999999999999996,6313,Stage 1,58.880005317750914
1,12,4,3,385,1,4,4,2,1,3,1,58,3,2,4,2,2,2,2,1,0.4908581743707867,0.75,385,Stage 1,141.73529784956466
4,12,4,3,1655,1,5,2,3,1,4,1,63,3,2,2,2,2,2,2,1,0.04166152343421203,0.75,1655,Stage 1,51.71236596271569
1,15,2,3,1053,1,2,4,4,1,2,1,27,3,2,1,3,2,1,1,1,0.2903660738074252,0.75,1053,Stage 1,183.45328543153124
4,21,2,3,3160,5,5,4,3,1,3,2,41,3,2,1,3,2,2,2,1,0.06812387308588086,0.48,3160,Stage 1,59.04588039809375
4,36,2,0,3079,5,3,4,3,1,4,1,36,3,2,1,3,2,1,2,1,0.2299054240318854,0.57,3079,Stage 1,134.49697211289325
4,12,4,0,1163,3,3,4,3,1,4,1,44,3,2,1,3,2,2,2,1,0.09049305335696234,0.66,1163,Stage 1,69.46065789573716
4,24,2,1,2679,1,2,4,2,1,1,4,29,3,2,1,4,2,2,2,1,0.3066862557402583,0.48,2679,Stage 1,197.1869949907565
4,48,4,3,3578,5,5,4,3,1,1,1,47,3,2,1,3,2,2,2,1,0.07745140991414512,0.57,3578,Stage 1,39.4897631158756
4,36,3,0,10875,1,5,2,3,1,2,3,45,3,2,2,3,1,2,2,1,0.5720866197890501,0.5700000000000001,10875,Stage 2,3546.2219344173745
1,12,3,0,1344,1,3,4,3,1,2,1,43,3,2,2,2,1,1,2,1,0.6992543155014588,0.75,1344,Stage 2,704.8483500254705
4,6,4,3,1237,2,3,1,2,1,1,2,27,3,2,2,3,2,1,2,1,0.10139786886373336,0.615,1237,Stage 1,77.13893572742947
4,12,2,3,3077,1,3,2,3,1,4,3,52,3,2,1,3,2,2,2,1,0.11411961511466917,0.5700000000000001,3077,Stage 1,200.15325175346715
4,24,2,3,2284,1,4,4,3,1,2,3,28,3,2,1,3,2,2,2,1,0.24761730278989103,0.5700000000000001,2284,Stage 1,161.18400707805168
2,12,2,3,1567,1,3,1,2,1,1,3,22,3,2,1,3,2,2,2,1,0.3949408403786383,0.5700000000000001,1567,Stage 1,352.75720921779595
4,24,3,0,2032,1,5,4,3,1,4,4,60,3,3,2,3,2,2,2,1,0.38095977371053746,0.48,2032,Stage 1,185.7864624431549
2,21,4,2,2745,4,4,3,3,1,2,3,32,3,2,2,3,2,2,2,1,0.23618644030638725,0.435,2745,Stage 1,161.15675640505677
4,30,2,3,1867,5,5,4,3,1,4,3,58,3,2,1,3,2,2,2,1,0.0721665345171385,0.38999999999999996,1867,Stage 1,21.01864751118562
4,36,2,3,2299,3,5,4,3,1,4,3,39,3,2,1,3,2,1,2,1,0.18156656373935165,0.48,2299,Stage 1,66.78744480588311
4,24,2,2,929,5,4,4,3,1,2,3,31,2,2,1,3,2,2,2,1,0.15443273522975765,0.38999999999999996,929,Stage 1,27.976262150546745
3,12,2,3,3399,5,5,2,3,1,3,3,37,3,2,1,4,2,1,2,1,0.07136696935446862,0.38999999999999996,3399,Stage 1,94.60476824597714
2,9,2,2,2030,5,4,2,3,1,1,3,24,3,2,1,3,2,2,2,1,0.1680567691981465,0.38999999999999996,2030,Stage 1,133.05054417417256
4,21,4,1,3275,1,5,1,3,1,4,3,36,3,2,1,4,2,2,2,1,0.03330216331285518,0.5700000000000001,3275,Stage 1,35.52389335101281
4,24,4,0,1940,4,5,4,3,1,4,1,60,3,2,1,3,2,2,2,1,0.07188246483836147,0.615,1940,Stage 1,42.881484399324535
